QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QJ51RF83	erütromütsiin+trimetoprim	Erythromycin+Trimethoprim
QJ51RF84	linkomütsiin+neomütsiin	Lincomycin+Neomycin
QJ51RF85	erütromütsiin+dihüdrostreptomütsiin	Erythromycin+Dihydrostreptomycin
QJ51RG	Aminoglükosiidide kombinatsioonid	Aminoglycoside antibacterials, combinations
QJ51RG80	neomütsiin+penetamaathüdrojodiid+prokaiinbensüülpenitsilliin	Neomycin+Penethamate hydroiodide+Procaine benzylpenicillin
QJ51RG83	neomütsiin+prokaiinbensüülpenitsilliin	Neomycin+Procaine benzylpenicillin
QJ51RV	Antibakteriaalsete ainete kombinatsioonid teiste ainetega	Combinations of antibacterials and other substances
QJ51RV01	neomütsiin+prednisoloon+oksütetratsükliin+prokaiinbensüülpenitsilliin	Neomycin+Prednisolone+Oxytetracycline+Procaine benzylpenicillin
QJ51RV71	bensüülpenitsilliin+prednisoloon+kanamütsiin	Benzylpenicillin+Prednisolone+Kanamycin
QJ51RV81	novobiotsiin+prednisoloon+neomütsiin+dihüdrostreptomütsiin+prokaiinbensüülpenitsilliin	Novobiocin+Prednisolone+Neomycin+Dihydrostreptomycin+Procaine benzylpenicillin
QJ51RV82	penetamaathüdrojodiid+prednisoloon+framütsetiin+dihüdrostreptomütsiin	Penethamate hydroiodide+Prednisolone+Framycetin+Dihydrostreptomycin
QJ51RV83	linkomütsiin+neomütsiin+metüülprednisoloon	Lincomycin+Neomycin+Methylprednisolone
QJ51RV84	prokaiinbensüülpenitsilliin+neomütsiin+dihüdrostreptomütsiin+polümüksiin B+sulfadimidiin+sulfatiasool+hüdrokortisoon	Procaine benzylpenicillin+Neomycin+Dihydrostreptomycin+Polymyxin B+Sulfadimidine+Sulfathiazole+Hydrocortisone
QJ51RV85	tetratsükliin+prednisoloon+neomütsiin+batsitratsiin	Tetracycline+Prednisolone+Neomycin+Bacitracin
QJ51RV86	neomütsiin+prednisoloon+oksütetratsükliin+prokaiinbensüülpenitsilliin	Neomycin+Prednisolone+Oxytetracycline+Procaine benzylpenicillin
QJ51RV87	prokaiinbensüülpenitsilliin+prednisoloon+neomütsiin+streptomütsiin	Procaine benzylpenicillin+Prednisolone+Neomycin+Streptomycin
QJ51RV88	kanamütsiin+prednisoloon+prokaiinbensüülpenitsilliin	Kanamycin+Prednisolone+Procaine benzylpenicillin
QJ51RV89	amoksitsilliin+hüdrokortisoon+nüstatiin	Amoxicillin+Hydrocortisone+Nystatin
QJ51RV90	amoksitsilliin+prednisoloon+klavulaanhape	Amoxicillin+Prednisolone+Clavulanic acid
QJ51X	TEISED ANTIBAKTERIAALSED AINED INTRAMAMMAARSEKS KASUTAMISEKS	OTHER ANTIBACTERIALS FOR INTRAMAMMARY USE
QJ51XX	Teised antibakteriaalsed ained intramammaarseks kasutamiseks	Other antibacterials for intramammary use
QJ51XX01	rifaksimiin	Rifaximin
QJ54	MÜKOBAKTERIVASTASED AINED INTRAMAMMAARSEKS KASUTAMISEKS	ANTIMYCOBACTERIALS FOR INTRAMAMMARY USE
QJ54A	MÜKOBAKTERIAALSETE INFEKTSIOONIDE VASTASED RAVIMID	DRUGS FOR MYCOBACTERIAL INFECTIONS
QJ54AB	Antibiootikumid	Antibiotics
QJ54AB80	rifaksimiin	Rifaximin
QL	KASVAJAVASTASED JA IMMUNOMODULEERIVAD AINED	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
QL01	KASVAJAVASTASED AINED	ANTINEOPLASTIC AGENTS
QL01X	TEISED KASVAJAVASTASED AINED	OTHER ANTINEOPLASTIC AGENTS
QL01XE	Proteiini kinaasi inhibiitorid	Protein kinase inhibitors
QL01XE22	masitiniib	Masitinib
QL01XE91	totseraniib	Toceranib
QL03	IMMUNOSTIMULAATORID	IMMUNOSTIMULANTS
QL03A	IMMUNOSTIMULAATORID	IMMUNOSTIMULANTS
QL03AB	Interferoonid	Interferons
QL03AB80	rekombinantne omega interferoon, pärineb kassilt	Recombinant Omega interferone of feline origin
QL03AX	Teised immunostimulaatorid	Other immunostimulants
QL04	IMMUNOSUPRESSANDID	IMMUNOSUPRESSANTS
QL04A	IMMUNOSUPRESSANDID	IMMUNOSUPRESSANTS
QL04AD	Kaltsineuriini inhibiitorid	Calcineurin inhibitors
QL04AD01	tsüklosporiin	Ciclosporin
QM	SKELETI-LIHASSÜSTEEM	MUSCULO-SCELETAL SYSTEM
QM01	PÕLETIKU- JA REUMAVASTASED AINED	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
QM01A	MITTESTEROIDSED PÕLETIKU- JA REUMAVASTASED AINED	ANTIINFLAMMATORY AND ANTIRHEUMATID PRODUCTS, NON-STEROIDS
QM01AA	Butüülpürasolidiinid	Butylpyrazolidines
QM01AA01	fenüülbutasoon	Phenylbutazone
QM01AA90	suksibusoon	Suxibuzone
QM01AB	Äädikhappe derivaadid ja sarnased ained	Acetic acid derivatives and related substances
QM01AB05	diklofenak	Diclofenac
QM01AC	Oksikaamid	Oxicams
QM01AC06	meloksikaam	Meloxicam
QM01AE	Propioonhappe derivaadid	Propionic acid derivatives
QM01AE03	ketoprofeen	Ketoprofen
QM01AE90	vedaprofeen	Vedaprofen
QM01AE91	karprofeen	Carprofen
QM01AE92	tepoksaliin	Tepoxalin
QM01AG	Fenamaadid	Fenamates
QM01AG02	tolfenaamhape	Tolfenamic acid
QM01AG90	fluniksiin	Flunixin
QM01AH	Koksiibid	Coxibs
QM01AH90	firokoksiib	Firocoxib
QM01AH91	robenakoksiib	Robenacoxib
QM01AH92	mavakoksiib	Mavacoxib
QM01AH93	tsimikoksiib	Cimicoxib
QM01AX	Teised mittesteroidsed põletiku- ja reumavastased ained	Other antiinflammatory and antirheumatic agents, non-steroids
QM01AX90	naatriumpentosaanpolüsulfaat	Pentosan polysulfate sodium
QM01B	PÕLETIKU- JA REUMAVASTASTE AINETE KOMBINATSIOONID	ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION
QM01BA	Põletiku- ja reumavastaste ainete kombinatsioonid kortikosteroididega	Antiinflammatory/antirheumatic agents in combination with corticosteroids
QM02	PAIKSELT KASUTATAVAD AINED LIIGESE- JA LIHASEVALUDE KORRAL	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
QM02A	PAIKSELT KASUTATAVAD PREPARAADID LIIGESE- JA LIHASEVALUDE KORRAL	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
QM02AC	Salitsüülhappe derivaate sisaldavad preparaadid	Preparations with salicylic acid derivatives
QM02AX	Teised paikselt kasutatavad ained liigese- ja lihasevalu korral	Other topical products for joint and muscular pain
QM02AX03	dimetüülsulfoksiid	Dimethyl sulfoxide
QM02AX53	dimetüülsulfoksiid	Dimethyl sulfoxide
QM02AX81	kamper+metüülsalitsülaat	Camphor+Methyl salicylate
QM02AX82	kamper	Camphor
QM02AX83	kamper+metüülsalitsülaat+unguentum populeum	Camphor+Methyl salicylate+Unguentum Populeum
QM02AX84	kamper+salitsüülhape+tärpentiniõli	Camphor+Salicylic acid+Turpentine oil
QM03	MÜORELAKSANDID	MUSCLE RELAXANTS
QM03B	TSENTRAALSE TOIMEGA MÜORELAKSANDID	MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS
QM03BX	Teised tsentraalse toimega müorelaksandid	Other centrally acting agents
QM03BX80	kamper+atsetüülsalitsüülhape+männi eeterlik õli	Camphor+Acetylsalicylic acid +Pine silvesteris oil
QM03BX90	guaifenesiin	Guaifenesin
QM05	LUUHAIGUSTE RAVIKS KASUTATAVAD AINED	DRUGS FOR TREATMENT OF BONE DISEASES
QM05B	LUU STRUKTUURI JA MINERALISATSIOONI MÕJUTAVAD AINED	DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
QM05BA	Bisfosfonaadid	Bisphosphonates
QM05BA05	tiludroonhape	Tiludronic acid
QM05BC	Bone morphogenetic proteins	Bone morphogenetic proteins
QM05BC01	tibotermiin alfa	Tibotermin alfa
QM09	TEISED SKELETI-LIHASSÜSTEEMI HÄIRETE KORRAL KASUTATAVAD AINED	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
QM09A	TEISED SKELETI-LIHASSÜSTEEMI HÄIRETE KORRAL KASUTATAVAD AINED	OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM
QM09AX	Teised skeleti-lihassüsteemi häirete korral kasutatavad ained	Other drugs for disorders of the musculo-skeletal system
QM09AX01	hüaluroonhape	Hyaluronic acid
QN	NÄRVISÜSTEEM	NERVOUS SYSTEM
QN01	ANESTEETIKUMID	ANESTHETICS
QN01A	ÜLDANESTEETIKUMID	ANESTHETICS GENERAL
QN01AB	Halogeenitud süsivesinikud	Halogenated hydrocarbons
QN01AB08	sevofluraan	Sevoflurane
QN01AF	Barbituraadid	Barbiturates, plain
QN01AF03	tiopentaal	Thiopental
QN01AH	Opioidanesteetikumid	Opioid anesthetics
QN01AH80	fentanüül+fluanisoon	Fentanyl+Fluanisone
QN01AX	Teised üldanesteetikumid	Other general anesthetics
QN01AX03	ketamiin	Ketamine
QN01AX05	alfaksaloon	Alfaxalone
QN01AX10	propofool	Propofol
QN01AX80	tiletamiin+zolasepaam	Tiletamine+Zolazepam
QN01AX91	asaperoon	Azaperone
QN01AX93	trikaiinmesilaat	Tricaine mesilate
QN01B	LOKAALANESTEETIKUMID	ANESTHETICS, LOCAL
QN01BA	Aminobensoehappe estrid	Esters of amino benzoic acid
QN01BB	Amiidid	Amides
QN01BB02	lidokaiin	Lidocaine
QN01BB80	lidokaiin+epinefriin (adrenaliin)	Lidocaine+Epinephrine
QN01BB81	lidokaiin+norepinefriin (noradrenaliin)	Lidocaine+Norepinephrine
QN02	ANALGEETIKUMID	ANALGESICS
QN02A	OPIOIDID	OPIOIDS
QN02AB	Fenüülpiperidiini derivaadid	Phenylpiperidine derivatives
QN02AB03	fentanüül	Fentanyl
QN02AC	Difenüülpropüülamiini derivaadid	Diphenylpropylamine derivatives
QN02AC80	levometadoon+fenpipramiid	Levomethadone+Fenpipramide
QN02AE	Oripaviini derivaadid	Oripavine derivatives
QN02AE01	buprenorfiin	Buprenorphine
QN02AE90	etorfiin	Etorphine
QN02AF	Morfinaani derivaadid	Morphinan derivatives
QN02AF01	butorfanool	Butorphanol
QN02B	TEISED ANALGEETIKUMID JA ANTIPÜREETIKUMID	OTHER ANALGESICS AND ANTIPYRETICS
QN02BA	Salitsüülhape ja selle derivaadid	Salicylic acid and derivatives
QN02BA01	atsetüülsalitsüülhape	Acetylsalicylic acid 
QN02BA04	naatriumsalitsülaat	Sodium salicylate
QN02BB	Pürasoloonid	Pyrazolones
QN02BB02	naatriummetamisool	Metamizole sodium
QN02BE	Aniliidid	Anilides
QN02BE01	paratsetamool	Paracetamol
QN03	EPILEPSIAVASTASED AINED	ANTIEPILEPTICS
QN03A	EPILEPSIAVASTASED AINED	ANTIEPILEPTICS
QN03AX	Teised epilepsiavastased ained	Other antiepileptics
QN03AX90	imepitoiin	imepitoin
QN05	PSÜHHOLEPTIKUMID	PSYCHOLEPTICS
QN05A	ANTIPSÜHHOOTILISED AINED	ANTIPSYCHOTICS
QN05AA	Alifaatse külgahelaga fenotiasiinid	Phenothiazines with aliphatic side-chain
QN05AA04	atsepromasiin	Acepromazine
QN05C	UINUTID JA RAHUSTID	HYPNOTICS AND SEDATIVES
QN05CH	Melatoniiniretseptori agonistid	Melatonin receptor agonists
QN05CH01	melatoniin	Melatonin
QN05CM	Teised uinutid ja rahustid	Other hypnotics and sedatives
QN05CM18	deksmedetomidiin	Dexmedetomidine
QN05CM90	detomidiin	Detomidine
QN05CM91	medetomidiin	Medetomidine
QN05CM92	ksülasiin	Xylazine
QN05CM93	romifidiin	Romifidine
QN06	PSÜHHOANALEPTIKUMID	PSYCHOANALEPTICS
QN06A	ANTIDEPRESSANDID	ANTIDEPRESSANTS
QN06AA	Mitteselektiivsed monoamiini tagasihaarde inhibiitorid	Non-selective monoamine reuptake inhibitors
QN06AA04	klomipramiin	Clomipramine
QN06AB	Selektiivsed serotoniini tagasihaarde inhibiitorid	Selective serotonin reuptake inhibitors
QN06AB03	fluoksetiin	Fluoxetine
QN06B	PSÜHHOSTIMULAATORID, AKTIIVSUS- JA TÄHELEPANUHÄIRE (ADHD) RAVIKS KASUTATAVAD AINED JA NOOTROOPIKUMID	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS
QN06BC	Ksantiini derivaadid	Xanthine derivatives
QN06BC80	kofeiin+naatriumbensoaat	Caffeine+Sodium benzoate
QN07	TEISED NÄRVISÜSTEEMI TOIMIVAD AINED	OTHER NERVOUS SYSTEM DRUGS
QN07X	TEISED NÄRVISÜSTEEMI TOIMIVAD AINED	OTHER NERVOUS SYSTEM DRUGS
QN07XX	Teised närvisüsteemi toimivad ained	Other nervous system drugs
QN07XX80	etorfiin+atsepromasiin	Etorphine+Acepromazine
QN51	AINED LOOMADE EUTANAASIAKS	PRODUCTS FOR ANIMAL EUTHANASIA
QN51A	AINED LOOMADE EUTANAASIAKS	PRODUCTS FOR ANIMAL EUTHANASIA
QN51AA	Barbituraadid	Barbiturates
QN51AA01	pentobarbitaal	Pentobarbital
QN51AX	Teised ained loomade eutanaasiaks	Other products for animal euthanasia
QN51AX80	embutramiid+tetrakaiin+mebesooniumjodiid	Embutramide+Tetracaine+Mebezonium iodide
QP	PARASIIDIVASTASED AINED, INSEKTITSIIDID JA REPELLENDID	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
QP51	ALGLOOMAVASTASED AINED	ANTIPROTOZOALS
QP51A	ALGLOOMAVASTASED AINED	AGENTS AGAINST PROTOZOAL DISEASES
QP51AA	Nitroimidasooli derivaadid	Nitroimidazole derivatives
QP51AA01	metronidasool	Metronidazole 
QP51AE	Karbaniliidid	Carbanilides
QP51AE01	imidokarb	Imidocarb
QP51AF	Aromaatsed diamidiinid	Aromatic diamidines
QP51AF01	diminaseen	Diminazene
QP51AG	Sulfoonamiidid ja nende kombinatsioonid	Sulfonamides, plain and in combinations
QP51AG04	sulfaklosiin	Sulfaclozine
QP51AG80	sulfakinoksaliin+pürimetamiin	Sulfaquinoxaline+Pyrimethamine
QP51AH	Püraanid ja hüdropüraanid	Pyranes and hydropyranes
QP51AH01	salinomütsiin	Salinomycin
QP51AH02	lasalotsiid	Lasalocid
QP51AH04	narasiin	Narasin
QP51AJ	Triasiinid	Triazines
QP51AJ01	toltrasuriil	Toltrazuril
QP51AJ03	diklasuriil	Diclazuril
QP51AX	Teised algloomade vastased ained	Other antiprotozoal agents
QP51AX08	halofuginoon	Halofuginone
QP51AX09	amproolium	Amprolium
QP51AX10	maduramitsiin	Maduramicin
QP51AX13	robenidiin	Robenidine
QP51AX81	amproolium+retinool+furasolidoon+menadioonnaatriumbisulfit+vitamiinid	Amprolium+Retinol+Furazolidone+Menadione sodium bisulfite+Vitamins
QP51AX82	amproolium+retinool+kinoon	Amprolium+Retinol+Quinone
QP52	ANTHELMINTIKUMID	ANTHELMINTICS
QP52A	ANTHELMINTIKUMID	ANTHELMINTICS
QP52AA	Kinoliini derivaadid ja sarnased ained	Quinoline derivatives and related substances
QP52AA01	prasikvanteel	Praziquantel
QP52AA51	prasikvanteel+emodepsiid	Praziquantel+Emodepside
QP52AA81	prasikvanteel+febanteel+püranteel	Praziquantel+Febantel+Pyrantel
QP52AA82	prasikvanteel+levamisool	Praziquantel+Levamisole
QP52AA83	prasikvanteel+püranteel	Praziquantel+Pyrantel
QP52AA84	prasikvanteel+fenbendasool+püranteel	Praziquantel+Fenbendazole+Pyrantel
QP52AA85	epsipranteel+püranteel	Epsiprantel+Pyrantel
QP52AA86	prasikvanteel+abamektiin	Praziquantel+Abamectin
QP52AA87	prasikvanteel+oksanteel+püranteel	Praziquantel+Oxantel+Pyrantel
QP52AA88	prasikvanteel+fenbendasool	Praziquantel+Fenbendazole
QP52AB	Fosfororgaanilised ühendid	Organophosphorous compounds
QP52AB02	bromofenofos	Bromofenofos
QP52AC	Bensimidasoolid ja sarnased ained	Benzimidazoles and related substances
QP52AC02	oksfendasool	Oxfendazole
QP52AC09	mebendasool	Mebendazole
QP52AC11	albendasool	Albendazole
QP52AC12	flubendasool	Flubendazole
QP52AC13	fenbendasool	Fenbendazole
QP52AC80	mebendasool+metrifonaat	Mebendazole+Metrifonate
QP52AC81	febanteel+püranteel	Febantel+Pyrantel
QP52AE	Imidasotiasoolid	Imidazothiazoles
QP52AE01	levamisool	Levamisole
QP52AE80	levamisool	Levamisole
QP52AE81	levamisool+oksüklosaniid	Levamisole+Oxyclozanide
QP52AF	Tetrahüdropürimidiinid	Tetrahydropyrimidines
QP52AF02	püranteel	Pyrantel
QP52AG	Fenooli derivaadid, k.a. salitsüülaniliidid	Phenol derivatives, incl. salicylanilides
QP52AG01	diklorofeen	Dichlorophen
QP52AG09	klosanteel	Closantel
QP52AG81	niklosamiid+oksübendasool	Niclosamide+Oxibendazole
QP52AX	Teised anthelmintikumid	Other anthelmintic agents
QP52AX01	nitroskanaat	Nitroscanate
QP52AX09	monepanteel	Monepantel
QP52AX60	emodepsiid+toltrasuriil	Emodepside+Toltrazuril
QP52X	TEISED ANTHELMINTIKUMID, VALITAV KLASSIFIKATSIOON	OTHER ANTHELMINTIC AGENTS, OPTIONAL CLASSIFICATION
QP53	NAHAPARASIITIDE VASTASED AINED, INSEKTITSIIDID JA REPELLENDID	ECTOPARASITICIDES, INSECTICIDES AND REPELLENTS
QP53A	NAHAPARASIITIDE VASTASED AINED PAIKSEKS KASUTAMISEKS, K.A. INSEKTITSIIDID	ECTOPARASITICIDES FOR TOPICAL USE, INCL. INSECTICIDES
QP53AB	Klooripreparaadid	Chlorine-containing products
QP53AB02	lindaan	Lindane
QP53AB80	lindaan+prednisoloon+kloroksülenool+bensüülbensoaat	Lindane+Prednisolone+Chloroxylenol+Benzyl benzoate
QP53AC	Püretriinid ja püretroidid	Pyrethrines and pyrethroids
QP53AC04	permetriin	Permethrin
QP53AC05	flumetriin	Flumethrin
QP53AC08	tsüpermetriin	Cypermethrin
QP53AC10	fluvalinaat	Fluvalinate
QP53AC11	deltametriin	Deltamethrin
QP53AC12	tsüflutriin	Cyfluthrin
QP53AC80	taufluvalinaat	Tau-fluvalinate
QP53AC81	tetrametriin+permetriin+piperonüül	Tetramethrin+Permethrin+Piperonyl
QP53AC82	permetriin+püriproksüfeen	Permethrin+Pyriproxyfen
QP53AC83	flumetriin+imidaklopriid	Flumethrin+Imidacloprid
QP53AC84	püretriin+skvalaan+piperonüülbutoksiid	Pyrethrin+Squalane+Piperonyl butoxid
QP53AC85	permetriin+indoksakarb	Permethrin+Indoxacarb
QP53AD	Amidiinid	Amidines
QP53AD01	amitraas	Amitraz
QP53AD51	amitraas+metaflumisoon	Amitraz+Metaflumizone
QP53AE	Karbamaadid	Carbamates
QP53AE01	karbarüül	Carbaril
QP53AE02	propoksuur	Propoxur
QP53AF	Fosfororgaanilised ühendid	Organophosphorous compounds
QP53AF01	foksiim	Phoxim
QP53AF03	dimpülaat	dimpylate
QP53AX	Teised nahaparasiitide vastased ained paikseks kasutamiseks	Other ectoparasiticides for topical use
QP53AX15	fiproniil	Fipronil
QP53AX17	imidaklopriid	Imidacloprid
QP53AX22	tümool	Thymol
QP53AX25	metaflumisoon	Metaflumizone
QP53AX26	püriprool	Pyriprole
QP53AX27	indoksakarb	Indoxacarb
QP53AX31	flumetriin+propoksuur	Flumethrin+Propoxur
QP53AX32	propoksuur+triflumuroon	Propoxur+Triflumuron
QP53AX80	fiproniil+metopreen	Fipronil+Methoprene
QP53AX81	püretriin+piperonüülbutoksiid	Pyrethrin+Piperonyl butoxid
QP53AX82	imidaklopriid+permetriin	Imidacloprid+Permethrin
QP53AX83	tsüpermetriini transisomeeri enantiomeeride segu+tetrametriin	Cypermethrine trans-isomer+Tetramethrin
QP53AX84	fiproniil+metopreen+amitraas	Fipronil+Methoprene+Amitraz
QP53AX85	metopreen+propoksuur	Methoprene+Propoxur
QP53B	NAHAPARASIITIDE VASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ECTOPARASITICIDES FOR SYSTEMIC USE
QP53BB	Fosfororgaanilised ühendid	Organophosphorous compounds
QP53BB02	fentioon	Fenthion
QP53BC	Kitiini sünteesi inhibiitorid	Chitin synthesis inhibitors
QP53BC01	lufenuroon	Lufenuron
QP53BD	Putukate kasvu regulaatorid, v.a. kitiini sünteesi inhibiitorid	Insect growth regulators, excl. chitin synthesis inhibitors
QP53BX	Teised nahaparasiitide vastased ained süsteemseks kasutamiseks	Other ectoparasiticides for systemic use
QP53BX03	spinosaad	Spinosad
QP54	ENDEKTOTSIIDID	ENDECTOCIDES
QP54A	MAKROTSÜKLILISED LAKTOONID	MACROCYCLIC LACTONES
QP54AA	Avermektiinid	Avermectines
QP54AA01	ivermektiin	Ivermectin
QP54AA02	abamektiin	Abamectin
QP54AA03	doramektiin	Doramectin
QP54AA04	eprinomektiin	Eprinomectin
QP54AA05	selamektiin	Selamectin
QP54AA81	ivermektiin+klorsuloon	Ivermectin+Clorsulon
QP54AA82	ivermektiin+prasikvanteel	Ivermectin+Praziquantel
QP54AB	Milbemütsiinid	Milbemycins
QP54AB02	moksidektiin	Moxidectin
QP54AB80	moksidektiin+prasikvanteel	Moxidectin+Praziquantel
QP54AB81	moksidektiin+imidaklopriid	Moxidectin+Imidacloprid
QP54AB82	milbemütsiin+prasikvanteel	milbemycin+Praziquantel
QR	HINGAMISSÜSTEEM	RESPIRATORY SYSTEM
QR03	HINGAMISTEEDE OBSTRUKTIIVSETE HAIGUSTE RAVIKS KASUTATAVAD AINED	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
QR03C	ADRENERGILISED AINED SÜSTEEMSEKS KASUTAMISEKS	ADRENERGICS FOR SYSTEMIC USE
QR03CC	Selektiivsed beeta-2-adrenomimeetikumid	Selective beta-2-adrenoceptor agonists
QR03CC13	klenbuterool	Clenbuterol
QR03D	TEISED SÜSTEEMSED HINGAMISTEEDE OBSTRUKTIIVSETE HAIGUSTE RAVIKS KASUTATAVAD AINED	OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
QR03DA	Ksantiinid	Xanthines
QR03DA06	etamifülliin	Etamiphylline
QR05	KÖHA JA KÜLMETUSE KORRAL KASUTATAVAD PREPARAADID	COUGH AND COLD PREPARATIONS
QR05C	EKSPEKTORANDID, V.A KOMBINATSIOONID KÖHA PÄRSSIVATE AINETEGA	EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS
QR05CB	Mukolüütilised ained	Mucolytics
QR05CB90	dembreksiin	Dembrexine
QR05F	KÖHA PÄRSSIVATE AINETE JA EKSPEKTORANTIDE KOMBINATSIOONID	COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS
QR05FB	Teised köha pärssivad ained ja ekspektorandid	Other cough suppressants and expectorants
QR05FB81	dekstrometorfaan+efedriin+guaifenesiin+kloorfenamiin	Dextromethorphan+Ephedrine+Guaifenesin+Chlorphenamine
QR06	ANTIHISTAMIINSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIHISTAMINES FOR SYSTEMIC USE
QR06A	ANTIHISTAMIINSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIHISTAMINES FOR SYSTEMIC USE
QR06AX	Teised antihistamiinsed ained süsteemseks kasutamiseks	Other antihistamines for systemic use
QR07	TEISED HINGAMISSÜSTEEMI TOIMIVAD AINED	OTHER RESPIRATORY SYSTEM PRODUCTS
QR07A	TEISED HINGAMISSÜSTEEMI TOIMIVAD AINED	OTHER RESPIRATORY SYSTEM PRODUCTS
QR07AB	Hingamisteede stimulaatorid	Respiratory stimulants
QR07AB01	doksapraam	Doxapram
QS	MEELEELUNDID	SENSORY ORGANS
QS01	OFTALMOLOOGIAS KASUTATAVAD AINED	OPHTHALMOLOGICALS
QS01A	INFEKTSIOONIVASTASED AINED	ANTIINFECTIVES
QS01AA	Antibiootikumid	Antibiotics
QS01AA02	kloortetratsükliin	Chlortetracycline
QS01AA11	gentamütsiin	Gentamicin
QS01AA81	klooramfenikool+retinool	Chloramphenicol+Retinol
QS01AA90	kloksatsilliin	Cloxacillin
QS01AE	Fluorokinoloonid	Fluoroquinolones
QS01C	PÕLETIKU- JA INFEKTSIOONIVASTASTE AINETE KOMBINATSIOONID	ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
QS01CA	Kortikosteroidide ja infektsioonivastaste ainete kombinatsioonid	Corticosteroids and antiinfectives in combination
QS01CA81	prednisoloon+kanamütsiin+prokaiinbensüülpenitsilliin	Prednisolone+Kanamycin+Procaine benzylpenicillin
QS01H	LOKAALANESTEETIKUMID	LOCAL ANESTHETICS
QS01HA	Lokaalanesteetikumid	Local anesthetics
QS01HA80	prokaiin+epinefriin (adrenaliin)	Procaine+Epinephrine
QS02	OTOLOOGIAS KASUTATAVAD AINED	OTOLOGICALS
QS02A	INFEKTSIOONIVASTASED AINED	ANTIINFECTIVES
QS02AA	Infektsioonivastased ained	Antiinfectives
QS02AA81	neomütsiin+tiabendasool+tetrakaiin	Neomycin+Tiabendazole+Tetracaine
QS02C	KORTIKOSTEROIDIDE JA INFEKTSIOONIVASTASTE AINETE KOMBINATSIOONID	CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
QS02CA	Kortikosteroidide ja infektsioonivastaste ainete kombinatsioonid	Corticosteroids and antiinfectives in combination
QS02CA81	prednisoloon+mikonasool+polümüksiin B	Prednisolone+Miconazole+Polymyxin B
QS02CA82	deksametasoon+polümüksiin B+batsitratsiin+sulfiraam	Dexamethasone+Polymyxin B+Bacitracin+Sulfiram
QS02CA83	prednisoloon+dietanoolamiidfusidaat+framütsetiin+nüstatiin	Prednisolone+Diethanolamide fusidate+Framycetin+Nystatin
QS02CA84	triamtsinoloon+neomütsiin+nüstatiin+tiostreptoon	Triamcinolone+Neomycin+Nystatin+Thiostrepton
QS02CA85	deksametasoon+marbofloksatsiin+klotrimasool	Dexamethasone+Marbofloxacin+Clotrimazole
QS02CA86	hüdrokortisoon+mikonasool+gentamütsiin	Hydrocortisone+Miconazole+Gentamicin
QS02CA87	deksametasoon+tiabendasool+gentamütsiin	Dexamethasone+Tiabendazole+Gentamicin
QS02CA88	triamtsinoloon+ketokonasool+enrofloksatsiin	Triamcinolone+Ketoconazole+Enrofloxacin
QS02CA91	mometasoon+posakonasool+orbifloksatsiin	Mometasone+Posaconazole+Orbifloxacin
QS02D	TEISED OTOLOOGIAS KASUTATAVAD AINED	OTHER OTOLOGICALS
QS02DC	Indiferentsed preparaadid	Indifferent preparations
QS02DC81	glütserool+karbamiidperoksiid+etidroonhape	Glycerol+Carbamide peroxide+Etidronic acid
QS02DC82	skvalaan+isopropüülmüristaat	Squalane+Isopropyl myristate
QS02DC83	ksüleen+mentool+glütserool+tümool	Xylene+Menthol+Glycerol+Thymol
QS02DC84	salitsüülhape+piimhape	Salicylic acid+Lactic acid
QS02Q	PARASIIDIVASTASED AINED	ANTIPARASITICS
QS02QA	Parasiidivastased ained	Antiparasitics
QS03	OFTALMOLOOGILISED JA OTOLOOGILISED  PREPARAADID	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
QS03C	KORTIKOSTEROIDIDE JA INFEKTSIOONIVASTASTE AINETE KOMBINATSIOONID	CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
QS03CA	Kortikosteroidide ja infektsioonivastaste ainete kombinatsioonid	Corticosteroids and antiinfectives in combination
