A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
D01AE54	undetsüleenhape+kombinatsioonid	Undecylenic acid+Combinations
D01AE80	kloronitrofenool	Chornitrophenol
D01B	SEENEVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIFUNGALS FOR SYSTEMIC USE
D01BA	Seenevastased ained süsteemseks kasutamiseks	Antifungals for systemic use
D01BA01	griseofulviin	Griseofulvin
D01BA02	terbinafiin	Terbinafine
D02	PEHMENDAVAD JA KAITSVAD AINED	EMOLLIENTS AND PROTECTIVES
D02A	PEHMENDAVAD JA KAITSVAD AINED	EMOLLIENTS AND PROTECTIVES
D02AA	Silikoonipreparaadid	Silicone products
D02AA00	PUUDU_EESTI	PUUDU_INGLISE
D02AB	Tsingiühendid	Zinc products
D02AB80	tsinkoksiid	Zinc oxide
D02AC	Vaseliini ja rasva preparaadid	Soft paraffin and fat products
D02AD	Vedelad plaastrid	Liquid plasters
D02AE	Karbamiidipreparaadid	Carbamide products
D02AE01	uurea	Urea
D02AF	Salitsüülhappepreparaadid	Salicylic acid preparations
D02AF80	salitsüülhape+uurea	Salicylic acid+Urea
D02AF81	salitsüülhape+piimhape	Salicylic acid+Lactic acid
D02AF82	salitsüülhape+kamper	Salicylic acid+Camphor
D02AX	Teised pehmendavad ja kaitsvad ained	Other emollients and protectives
D02B	UV-KIIRGUSE EEST KAITSVAD AINED	PROTECTIVES AGAINST UV-RADIATION
D02BA	UV-kiirguse eest kaitsvad preparaadid paikseks kasutamiseks	Protectives against UV-radiation for topical use
D02BA01	4-aminobensoehape	4-aminobenzoic acid
D02BB	UV-kiirguse eest kaitsvad preparaadid süsteemseks kasutamiseks	Protectives against UV-radiation for systemic use
D03	PREPARAADID HAAVADE JA HAAVANDITE RAVIKS	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03A	ARMISTUMIST SOODUSTAVAD AINED	CICATRIZANTS
D03AA	Tursamaksaõlisalvid	Cod-liver oil ointments
D03AX	Teised armistumist soodustavad ained	Other cicatrizants
D03AX00	PUUDU_EESTI	PUUDU_INGLISE
D03AX01	kadeksomeer	Cadexomer
D03AX02	dekstranomeer	Dextranomer
D03AX03	dekspantenool	Dexpanthenol
D03AX04	kaltsiumpantotenaat	Calcium pantothenate
D03AX05	hüaluroonhape	Hyaluronic acid
D03AX06	bekaplermiin	Becaplermin
D03AX81	naatriumhepariin+allantoiin+sibulaekstrakt	Heparin sodium+Allantoin+Extract of Cepae
D03AX82	vasika vere hemoderivaat, deproteiniseeritud	Hemoderivate of calf blood, deproteinized
D03AX83	dekspantenool+kloorheksidiin	Dexpanthenol+Chlorhexidine
D03B	ENSÜÜMID	ENZYMES
D03BA	Proteolüütilised ensüümid	Proteolytic enzymes
D03BA01	trüpsiin	Trypsin
D03BA02	kollagenaas	Collagenase
D03BA80	kollagenaas+klooramfenikool	Collagenase+Chloramphenicol
D03BA81	proteolüütilised ensüümid	proteolytic enzymes
D04	SÜGELUSVASTASED AINED, K.A ANTIHISTAMIINSED AINED, ANESTEETIKUMID JT	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04A	SÜGELUSVASTASED AINED, K.A ANTIHISTAMIINSED AINED, ANESTEETIKUMID JT	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04AA	Antihistamiinsed ained paikseks kasutamiseks	Antihistamines for topical use
D04AA00	PUUDU_EESTI	PUUDU_INGLISE
D04AA02	mepüramiin	Mepyramine
D04AA03	tenalidiin	Thenalidine
D04AA04	tripelennamiin	Tripelennamine
D04AA09	kloropüramiin	Chloropyramine
D04AA10	prometasiin	Promethazine
D04AA12	tolpropamiin	Tolpropamine
D04AA13	dimetindeen	Dimetindene
D04AA14	klemastiin	Clemastine
D04AA15	bamipiin	Bamipine
D04AA22	isotipendüül	Isothipendyl
D04AA32	difenhüdramiin	Diphenhydramine
D04AA33	difenhüdramiinmetüülbromiid	Diphenhydramine methylbromide
D04AA34	kloorfenoksamiin	Chlorphenoxamine
D04AB	Lokaalanesteetikumid	Anesthetics for topical use
D04AB01	lidokaiin	Lidocaine
D04AB02	tsinhokaiin	Cinchocaine
D04AB03	oksübuprokaiin	Oxybuprocaine
D04AB04	bensokaiin	Benzocaine
D04AB05	kinisokaiin	Quinisocaine
D04AB06	tetrakaiin	Tetracaine
D04AX	Teised sügelusvastased ained	Other antipruritics
D05	PSORIAASIVASTASED AINED	ANTIPSORIATICS
D05A	PSORIAASIVASTASED AINED PAIKSEKS KASUTAMISEKS	ANTIPSORIATICS FOR TOPICAL USE
D05AA	Tõrvad	Tars
D05AA80	kivisöe tõrv	Coal tar
D05AA81	kivisöe tõrv+uurea+salitsüülhape	Coal tar+Urea+Salicylic acid
D05AA82	tõrvad+tsinkpüritioon	Tars+Pyrithione zinc
D05AA83	kivisöe tõrv+allantoiin	Coal tar+Allantoin
D05AA84	tõrvad	Tars
D05AC	Antratseeni derivaadid	Antracen derivatives
D05AC01	ditranool	Dithranol
D05AC80	ditranool+salitsüülhape	Dithranol+Salicylic acid
D05AD	Psoraleenid paikseks kasutamiseks	Psoralens for topical use
D05AD01	trioksüsaleen	Trioxysalen
D05AD02	metoksaleen	Methoxsalen
D05AX	Teised psoriaasivastased ained paikseks kasutamiseks	Other antipsoriatics for topical use
D05AX02	kaltsipotriool	Calcipotriol
D05AX03	kaltsitriool	Calcitriol
D05AX04	takaltsitool	Tacalcitol
D05AX05	tasaroteen	Tazarotene
D05AX80	kaltsipotriool+beetametasoon	Calcipotriol+Betamethasone
D05B	PSORIAASIVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIPSORIATICS FOR SYSTEMIC USE
D05BA	Psoraleenid süsteemseks kasutamiseks	Psoralens for systemic use
D05BA01	trioksüsaleen	Trioxysalen
D05BA02	metoksaleen	Methoxsalen
D05BA03	bergapteen	Bergapten
D05BB	Retinoidid psoriaasi raviks	Retinoids for treatment of psoriasis
D05BB01	etretinaat	Etretinate
D05BB02	atsitretiin	Acitretin
D05BX	Teised psoriaasivastased ained süsteemseks kasutamiseks	Other antipsoriatics for systemic use
D05BX80	dimetüülfumaraat	Dimethyl fumarate
D06	ANTIBIOOTIKUMID JA KEMOTERAPEUTIKUMID DERMATOLOOGILISEKS KASUTAMISEKS	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A	ANTIBIOOTIKUMID PAIKSEKS KASUTAMISEKS	ANTIBIOTICS FOR TOPICAL USE
D06AA	Tetratsükliin ja selle derivaadid	Tetracycline and derivatives
D06AA01	demeklotsükliin	Demeclocycline
D06AA02	kloortetratsükliin	Chlortetracycline
D06AA03	oksütetratsükliin	Oxytetracycline
D06AA04	tetratsükliin	Tetracycline
D06AX	Teised antibiootikumid paikseks kasutamiseks	Other antibiotics for topical use
D06AX01	fusidiinhape	Fusidic acid
D06AX02	klooramfenikool	Chloramphenicol
D06AX04	neomütsiin	Neomycin
D06AX05	batsitratsiin	Bacitracin
D06AX07	gentamütsiin	Gentamicin
D06AX08	türotritsiin	Tyrothricin
D06AX09	mupirotsiin	Mupirocin
D06AX10	virginiamütsiin	Virginiamycin
D06AX11	rifaksimiin	Rifaximin
D06AX12	amikatsiin	Amikacin
D06AX13	retapamuliin	Retapamulin
D06AX80	batsitratsiin+neomütsiin	Bacitracin+Neomycin
D06AX81	batsitratsiin+neomütsiin+polümüksiin B	Bacitracin+Neomycin+Polymyxin B
D06AX82	batsitratsiin+polümüksiin B	Bacitracin+Polymyxin B
D06AX83	klooramfenikool	Chloramphenicol
D06AX84	klooramfenikool+metüüluratsiil	Chloramphenicol+Methyluracil
D06AX85	gentamütsiin+östradiool	Gentamicin+Estradiol
D06B	KEMOTERAPEUTIKUMID PAIKSEKS KASUTAMISEKS	CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BA	Sulfoonamiidid	Sulfonamides
D06BA01	hõbesulfadiasiin	Silver sulfadiazine
D06BA02	sulfatiasool	Sulfathiazole
D06BA03	mafeniid	Mafenide
D06BA04	sulfametisool	Sulfamethizole
D06BA05	sulfaniilamiid	Sulfanilamide
D06BA51	hõbesulfadiasiin	Silver sulfadiazine
D06BB	Viirusvastased ained	Antivirals
D06BB00	PUUDU_EESTI	PUUDU_INGLISE
D06BB01	idoksuridiin	Idoxuridine
D06BB02	tromantadiin	Tromantadine
D06BB03	atsikloviir	Aciclovir
D06BB04	podofüllotoksiin	Podophyllotoxin
D06BB05	inosiin	Inosine
D06BB06	pentsikloviir	Penciclovir
D06BB08	ibatsitabiin	Ibacitabine
D06BB09	edoksudiin	Edoxudine
D06BB10	imikvimood	Imiquimod
D06BB11	dokosanool	Docosanol
D06BB80	glütsürrisiinhape	Glycyrrhizinic acid
D06BX	Teised kemoterapeutikumid	Other chemotherapeutics
D06BX01	metronidasool	Metronidazole 
D06BX02	ingenoolmebutaat	Ingenol mebutate
D06C	ANTIBIOOTIKUMIDE JA KEMOTERAPEUTIKUMIDE KOMBINATSIOONID	ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
D06CA	Antibiootikumide kombinatsioonid	Antibiotics, combinations
D07	KORTIKOSTEROIDID DERMATOLOOGILISEKS KASUTAMISEKS	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A	KORTIKOSTEROIDID	CORTICOSTEROIDS, PLAIN
D07AA	Nõrgad kortikosteroidid (I rühm)	Corticosteroids, weak (group I)
D07AA01	metüülprednisoloon	Methylprednisolone
D07AA02	hüdrokortisoon	Hydrocortisone
D07AA03	prednisoloon	Prednisolone
D07AA80	masipredoon	Mazipredone
D07AB	Mõõduka tugevusega kortikosteroidid (II rühm)	Corticosteroids, moderately potent (group II)
D07AB01	klobetasoon	Clobetasone
D07AB02	hüdrokortisoonbutüraat	Hydrocortisone butyrate
D07AB03	flumetasoon	Flumetasone
D07AB04	fluokortiin	Fluocortin
D07AB05	fluperoloon	Fluperolone
D07AB06	fluorometoloon	Fluorometholone
D07AB07	fluprednideen	Fluprednidene
D07AB08	desoniid	Desonide
D07AB09	triamtsinoloon	Triamcinolone
D07AB10	alklometasoon	Alclometasone
D07AB11	hüdrokortisoon	Hydrocortisone
D07AB19	deksametasoon	Dexamethasone
D07AB21	klokortoloon	Clocortolone
D07AB80	prednisoloon+kliokvinool	Prednisolone+Clioquinol
D07AC	Tugevad kortikosteroidid (III rühm)	Corticosteroids, potent (group III)
D07AC01	beetametasoon	Betamethasone
D07AC02	flukloroloonatsetoniid	Fluclorolone acetonide
D07AC03	desoksimetasoon	Desoximetasone
D07AC04	fluotsinoloonatsetoniid	Fluocinolone acetonide
D07AC05	fluokortoloon	Fluocortolone
D07AC06	diflukortoloon	Diflucortolone
D07AC07	fludroksükortiid	Fludroxycortide
D07AC08	fluotsinoniid	Fluocinonide
D07AC09	budesoniid	Budesonide
D07AC10	diflorasoon	Diflorasone
D07AC11	amtsinoniid	Amcinonide
D07AC12	halometasoon	Halometasone
D07AC13	mometasoon	Mometasone
D07AC14	metüülprednisoloonatseponaat	Methylprednisolone aceponate
D07AC15	beklometasoon	Beclometasone
D07AC16	hüdrokortisoonatseponaat	Hydrocortisone aceponate
D07AC17	flutikasoon	Fluticasone
D07AC18	prednikarbaat	Prednicarbate
D07AC19	difluprednaat	Difluprednate
D07AC21	ulobetasool	Ulobetasol
D07AC80	halometasoon+triklosaan	Halometasone+Triclosan
D07AD	Väga tugevad kortikosteroidid (IV rühm)	Corticosteroids, very potent (group IV)
D07AD01	klobetasool	Clobetasol
D07AD02	haltsinoniid	Halcinonide
D07B	KORTIKOSTEROIDIDE JA ANTISEPTILISTE AINETE KOMBINATSIOONID	CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS
D07BA	Kortikosteroidid, nõrgad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, weak, combinations with antiseptics
D07BA80	hüdrokortisoon+kloorheksidiin	Hydrocortisone+Chlorhexidine
D07BB	Kortikosteroidid, mõõduka tugevusega, kombinatsioonid antiseptiliste ainetega	Corticosteroids, moderately potent, combinations with antiseptics
D07BB80	flumetasoon+salitsüülhape	Flumetasone+Salicylic acid
D07BB81	triamtsinoloon+ekonasool	Triamcinolone+Econazole
D07BB83	flumetasoon+kliokvinool	Flumetasone+Clioquinol
D07BC	Kortikosteroidid, tugevad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, potent, combinations with antiseptics
D07BC01	beetametasoon	Betamethasone
D07BC02	fluotsinoloonatsetoniid	Fluocinolone acetonide
D07BC03	fluokortoloon	Fluocortolone
D07BC04	diflukortoloon	Diflucortolone
D07BC80	beetametasoon+salitsüülhape	Betamethasone+Salicylic acid
D07BD	Kortikosteroidid, väga tugevad, kombinatsioonid antiseptiliste ainetega	Corticosteroids, very potent, combinations with antiseptics
D07C	KORTIKOSTEROIDIDE JA ANTIBIOOTIKUMIDE KOMBINATSIOONID	CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS
D07CA	Korikosteroidid, nõrgad, kombinatsioonid antibiootikumidega	Corticosteroids, weak, combinations with antibiotics
D07CA80	prednisoloon+neomütsiin	Prednisolone+Neomycin
D07CA81	hüdrokortisoon+oksütetratsükliin	Hydrocortisone+Oxytetracycline
D07CA82	hüdrokortisoon+oksütetratsükliin	Hydrocortisone+Oxytetracycline
D07CA83	hüdrokortisoon+fusidiinhape	Hydrocortisone+Fusidic acid
D07CA84	hüdrokortisoon+neomütsiin+natamütsiin	Hydrocortisone+Neomycin+Natamycin
D07CB	Kortikosteroidid, mõõduka tugevusega, kombinatsioonid antibiootikumidega	Corticosteroids, moderately potent, combinations with antibiotics
D07CB80	triamtsinoloon+tetratsükliin	Triamcinolone+Tetracycline
D07CC	Kortikosteroidid, tugevad, kombinatsioonid antibiootikumidega	Corticosteroids, potent, combinations with antibiotics
D07CC80	beetametasoon+fusidiinhape	Betamethasone+Fusidic acid
D07CC81	beetametasoon+neomütsiin	Betamethasone+Neomycin
D07CC82	fluotsinoloonatsetoniid+neomütsiin	Fluocinolone acetonide+Neomycin
D07CD	Kortikosteroidid, väga tugevad, kombinatsioonid antibiootikumidega	Corticosteroids, very potent, combinations with antibiotics
D07X	TEISED KORTIKOSTEROIDIDE KOMBINATSIOONID	CORTICOSTEROIDS, OTHER COMBINATIONS
D07XA	Kortikosteroidid, nõrgad, teised kombinatsioonid	Corticosteroids, weak, other combinations
D07XA80	hüdrokortisoon+kivisöe tõrv+allantoiin	Hydrocortisone+Coal tar+Allantoin
D07XA81	prednisoloon+salitsüülhape	Prednisolone+Salicylic acid
D07XA83	prednisoloon+östradiool+salitsüülhape	Prednisolone+Estradiol+Salicylic acid
D07XA84	prednisoloon+salitsüülhape	Prednisolone+Salicylic acid
D07XA85	prednisoloon+östradiool	Prednisolone+Estradiol
D07XB	Kortikosteroidid, mõõduka tugevusega, teised kombinatsioonid	Corticosteroids, moderately potent, other combinations
D07XB80	flumetasoon+salitsüülhape	Flumetasone+Salicylic acid
D07XC	Kortikosteroidid, tugevad, teised kombinatsioonid	Corticosteroids, potent, other combinations
D07XC01	beetametasoon+klotrimasool+gentamütsiin	Betamethasone+Clotrimazole+Gentamicin
D07XC03	mometasoon+salitsüülhape	Mometasone+Salicylic acid
D07XD	Kortikosteroidid, väga tugevad, teised kombinatsioonid	Corticosteroids, very potent, other combinations
D07XD80	haltsinoniid+uurea	Halcinonide+Urea
D07XD81	haltsinoniid+salitsüülhape	Halcinonide+Salicylic acid
D08	ANTISEPTILISED JA DESINFITSEERIVAD AINED	ANTISEPTICS AND DISINFECTANTS
D08A	ANTISEPTILISED JA DESINFITSEERIVAD AINED	ANTISEPTICS AND DISINFECTANTS
D08AA	Akridiini derivaadid	Acridine derivatives
D08AA01	etakridiin	Ethacridine
D08AA02	aminoakridiin	Aminoacridine
D08AB	Alumiiniumiühendid	Aluminium agents
D08AC	Biguaniidid ja amidiinid	Biguanides and amidines
D08AC01	dibrompropamidiin	Dibrompropamidine
D08AC02	kloorheksidiin	Chlorhexidine
D08AC03	propamidiin	Propamidine
D08AC04	heksamidiin	Hexamidine
D08AC05	poliheksaniid	Polihexanide
D08AC80	kloorheksidiin+isopropüülalkohol	Chlorhexidine+Isopropyl alcohol
D08AD	Boorhappepreparaadid	Boric acid products
D08AE	Fenool ja selle derivaadid	Phenol and derivatives
D08AE01	heksaklorofeen	Hexachlorophene
D08AE02	polikresuleen	Policresulen
D08AE04	triklosaan	Triclosan
D08AE05	kloroksülenool	Chloroxylenol
D08AE80	heksaklorofeen+östradiool	Hexachlorophene+Estradiol
D08AF	Nitrofuraani derivaadid	Nitrofuran derivatives
D08AF01	nitrofuraal	Nitrofural
D08AG	Joodipreparaadid	Iodine products
D08AG02	joodpovidoon	Povidone, iodinated
D08AG03	jood	Iodine
D08AH	Kinoliini derivaadid	Quinoline derivatives
D08AH01	dekvaliin	Dequalinium
D08AH02	kloorkvinaldool	Chlorquinaldol
D08AH30	kliokvinool	Clioquinol
D08AJ	Kvaternaarsed ammooniumiühendid	Quaternary ammonium compounds
D08AJ01	bensalkooniumkloriid	Benzalkonium chloride
D08AJ02	tsetrimooniumbromiid	Cetrimonium bromide
D08AJ03	tsetüülpüridiinkloriid	Cetylpyridinium chloride
D08AJ04	tsetrimiid	Cetrimide
D08AJ05	bensoksooniumkloriid	Benzoxonium chloride
D08AJ80	oktenidiindihüdrokloriid	Octenidine dihydrochloride
D08AJ81	oktenidiindihüdrokloriid+fenoksüetanool	Octenidine dihydrochloride+Phenoxyethanol
D08AK	Elavhõbedaühendid	Mercurial products
D08AK02	fenüülelavhõbeboraat	Phenylmercuric borate
D08AK05	elavhõbe, metalne	Mercury, metallic
D08AK06	tiomersaal	Thiomersal
D08AL	Hõbedaühendid	Silver compounds
D08AL01	hõbenitraat	Silver nitrate
D08AX	Teised antiseptilised ja desinfitseerivad ained	Other antiseptics and disinfectants
D08AX01	vesinikperoksiidilahus	Hydrogen peroxide solution
D08AX03	propanool	Propanol
D08AX04	naatriumtosüülklooramiid	Tosylchloramide sodium
D08AX05	isopropüülalkohol	Isopropyl alcohol
D08AX80	denatureeritud etanool	Denatured ethanol
D08AX82	tõrv+riitsinusõli+kseroform	Tar+Castor oil+Xeroformium
D08AX83	briljantroheline	Brilliant Green
D08AX84	bensalkooniumkloriid+kloorheksidiin	Benzalkonium chloride+Chlorhexidine
D09	RAVIMSIDUMISMATERJAL	MEDICATED DRESSINGS
D09A	RAVIMSIDUMISMATERJAL	MEDICATED DRESSINGS
D09AA	Infektsioonivastaste ainetega ravimsidumismaterjalid	Medicated dressings with antiinfectives
D09AA01	framütsetiin	Framycetin
D09AA02	fusidiinhape	Fusidic acid
D09AA03	nitrofuraal	Nitrofural
D09AA04	fenüülelavhõbeboraat	Phenylmercuric borate
D09AA05	bensododetsiinkloriid	Benzododecinium chloride
D09AA06	triklosaan	Triclosan
D09AA07	tsetüülpüridiinkloriid	Cetylpyridinium chloride
D09AA08	alumiiniumklorohüdraat	Aluminium chlorohydrate
D09AA09	joodpovidoon	Povidone, iodinated
D09AA10	kliokvinool	Clioquinol
D09AA11	bensalkooniumkloriid	Benzalkonium chloride
D09AA12	kloorheksidiin	Chlorhexidine
D09AB	Tsinki sisaldav haavaside	Zinc bandages
D09AX	Vaseliiniga sidumismaterjal	Soft paraffin dressings
D10	AKNEVASTASED PREPARAADID	ANTI-ACNE PREPARATIONS
D10A	AKNEVASTASED PREPARAADID PAIKSEKS KASUTAMISEKS	ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AA	Kortikosteroidide kombinatsioonid akne raviks	Corticosteroids, combinations for treatment of acne
D10AA01	fluorometoloon	Fluorometholone
D10AA02	metüülprednisoloon	Methylprednisolone
D10AA03	deksametasoon	Dexamethasone
D10AB	Väävlit sisaldavad preparaadid	Preparations containing sulfur
D10AB01	bitionool	Bithionol
D10AB02	väävel välispidiseks kasutamiseks	Sulphur for external use
D10AB03	tioksoloon	Tioxolone
D10AB05	mesulfeen	Mesulfen
D10AD	Retinoidid akne paikseks raviks	Retinoids for topical use in acne
D10AD01	tretinoiin	Tretinoin
D10AD02	retinool	Retinol
D10AD03	adapaleen	Adapalene
D10AD04	isotretinoiin	Isotretinoin
D10AD05	motretiniid	Motretinide
D10AD51	tretinoiin	Tretinoin
D10ADO3	adapaleen	Adapalene
D10AE	Peroksiidid	Peroxides
D10AE01	bensoüülperoksiid	Benzoyl peroxide
D10AF	Infektsioonivastased ained akne raviks	Antiinfectives for treatment of acne
D10AF01	klindamütsiin	Clindamycin
D10AF02	erütromütsiin	Erythromycin
D10AF03	klooramfenikool	Chloramphenicol
D10AF04	meklotsükliin	Meclocycline
D10AF80	erütromütsiin+bensoüülperoksiid	Erythromycin+Benzoyl peroxide
D10AF81	klindamütsiin+bensoüülperoksiid	Clindamycin+Benzoyl peroxide
D10AF82	klindamütsiin+tretinoiin	Clindamycin+Tretinoin
D10AX	Teised aknevastased preparaadid paikseks kasutamiseks	Other anti-acne preparations for topical use
D10AX01	alumiiniumkloriid	Aluminium chloride
D10AX02	resortsinool	Resorcinol
D10AX03	aselaiinhape	Azelaic acid
D10AX04	alumiiniumoksiid	Aluminium oxide, hydrated
D10B	AKNEVASTASED PREPARAADID SÜSTEEMSEKS KASUTAMISEKS	ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D10BA	Retinoidid akne raviks	Retinoids for treatment of acne
D10BA01	isotretinoiin	Isotretinoin
D10BX	Teised aknevastased preparaadid süsteemseks kasutamiseks	Other anti-acne preparations for systemic use
D10BX01	ihtasool	Ichtasol
D11	TEISED DERMATOLOOGILISED PREPARAADID	OTHER DERMATOLOGICAL PREPARATIONS
D11A	TEISED DERMATOLOOGILISED PREPARAADID	OTHER DERMATOLOGICAL PREPARATIONS
D11AA	Higistamisvastased ained	Antihidrotics
D11AC	Ravišampoonid	Medicated shampoos
D11AC01	tsetrimiid	Cetrimide
D11AC06	joodpovidoon	Povidone, iodinated
D11AC09	ksenüsalaat	Xenysalate
D11AE	Androgeenid paikseks kasutamiseks	Androgens for topical use
D11AE01	metandienoon	Metandienone
D11AF	Soolatüüka- ja konnasilmavastased preparaadid	Wart and anti-corn preparations
D11AH	Dermatiidi raviks kasutatavad ained, v.a. kortikosteroidid	Agents for dermatitis, excluding corticosteroids
D11AH01	takroliimus	Tacrolimus
D11AH02	pimekroliimus	Pimecrolimus
D11AH04	alitretinoiin	Alitretinoin
D11AX	Teised dermatoloogilised preparaadid	Other dermatologicals
D11AX01	minoksidiil	Minoxidil
D11AX02	gamoleenhape	Gamolenic acid
D11AX03	kaltsiumglükonaat	Calcium gluconate
D11AX04	liitium	Lithium
D11AX05	magneesiumsulfaat	Magnesium sulphate
D11AX06	mekvinool	Mequinol
D11AX08	tiratrikool	Tiratricol
D11AX09	oksatseprool	Oxaceprol
D11AX10	finasteriid	Finasteride
D11AX12	tsinkpüritioon	Pyrithione zinc
D11AX16	eflornitiin	Eflornithine
D11AX18	diklofenak	Diclofenac
D11AX80	botuliini toksiin	Botulinum toxin
G	UROGENITAALSÜSTEEM JA SUGUHORMOONID	GENITO URINARY SYSTEM AND SEX HORMONES
G01	GÜNEKOLOOGIAS KASUTATAVAD ANTISEPTILISED JA INFEKTSIOONIVASTASED AINED	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A	INFEKTSIOONIVASTASED JA ANTISEPTILISED AINED, V.A KOMBINATSIOONID KORTIKOSTEROIDIDEGA	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01AA	Antibiootikumid	Antibiotics
G01AA01	nüstatiin	Nystatin
G01AA02	natamütsiin	Natamycin
G01AA03	amfoteritsiin	Amphotericin
G01AA04	kanditsidiin	Candicidin
G01AA05	klooramfenikool	Chloramphenicol
G01AA06	hakimütsiin	Hachimycin
G01AA07	oksütetratsükliin	Oxytetracycline
G01AA08	karfetsilliin	Carfecillin
G01AA10	klindamütsiin	Clindamycin
G01AA80	nüstatiin+neomütsiin+polümüksiin B	Nystatin+Neomycin+Polymyxin B
G01AB	Arseeniühendid	Arsenic compounds
G01AB01	atsetarsool	Acetarsol
G01AC	Kinoliini derivaadid	Quinoline derivatives
G01AC01	dijodohüdroksükinoliin	Diiodohydroxyquinoline
G01AC02	kliokvinool	Clioquinol
G01AC03	kloorkvinaldool	Chlorquinaldol
G01AC05	dekvaliin	Dequalinium
G01AC06	broksükinoliin	Broxyquinoline
G01AC80	kloorkvinaldool+promestrieen	Chlorquinaldol+Promestriene
G01AD	Orgaanilised happed	Organic acids
G01AD01	piimhape	Lactic acid
G01AD02	jää-äädikhape	Acetic acid, glacial
G01AD80	piimhape+naatriumlaktaat	Lactic acid+Sodium lactate
G01AE	Sulfoonamiidid	Sulfonamides
